scid,message_count,percentage_of_total
750416686027046912,19,0.02
939924112156065792,19,0.02
954735633411735553,19,0.02
773241447983153156,19,0.02
886641778647564327,19,0.02
975937515954896902,19,0.02
941936218435158017,19,0.02
990876580552048642,19,0.02
838268764542468097,19,0.02
854698766905966596,19,0.02
882383370064756736,19,0.02
990058543870312449,19,0.02
901752367069462529,19,0.02
1007611147549605889,19,0.02
998192730931265537,19,0.02
937509584627302401,18,0.02
876496585014181888,18,0.02
983530743251009537,18,0.02
997962933017509889,18,0.02
807748520791179264,18,0.02
944608031790792704,18,0.02
1005893710409957380,18,0.02
989000813602537472,18,0.02
996703992289492992,18,0.02
1007418732886949889,18,0.02
880171152911368192,18,0.02
880171152931422209,18,0.02
837535390361059328,18,0.02
990566518211674113,18,0.02
999754037338177537,18,0.02
910801347692068865,18,0.02
958355225570181125,18,0.02
980754476531580929,18,0.02
991957400425594881,18,0.02
883113445816729600,18,0.02
1000607258404257793,18,0.02
937501888166363137,18,0.02
981433974730653696,18,0.02
1006912957651550208,18,0.02
1004882159587426305,18,0.02
990710554221740033,18,0.02
766630084450189312,18,0.02
1001675983743352833,18,0.02
983989239735255040,17,0.02
990822704447553536,17,0.02
961680148708392960,17,0.02
983295447936204801,17,0.02
998937100270895105,17,0.02
913832701310337025,17,0.02
993140474874822656,17,0.02
988850180591190016,17,0.02
980168436789542919,17,0.02
999155902985535489,17,0.02
995983812057366528,17,0.02
896468114071158785,17,0.02
995778203349549062,17,0.02
955331568539664385,17,0.02
1000498406771064833,17,0.02
896475810614214657,17,0.02
1002652350073143296,17,0.02
935782251854757890,17,0.02
987003001078087680,17,0.02
896475810614018049,17,0.02
1007231815985987585,17,0.02
995690242477522945,17,0.02
1006986624862978048,17,0.02
999762833428185089,17,0.02
979176677419909121,17,0.02
883624718827782151,17,0.02
989928801558593537,17,0.02
950704823827562497,17,0.02
1005700196254089217,17,0.02
1007582560287719425,17,0.02
1005564956270329859,17,0.02
1007548475438989313,17,0.02
992846905385549825,17,0.02
1007610047950749696,17,0.02
876668108756811777,17,0.02
988758921121038337,17,0.02
895662172124413952,17,0.02
970847876625596417,17,0.02
879718153913630720,17,0.02
963256848528637953,17,0.02
908272470889791488,17,0.02
937491992372707328,17,0.02
1000112478122737665,17,0.02
997288932395778048,17,0.02
1006966833742807040,17,0.02
811015169936523264,17,0.02
919219208630239233,17,0.02
998945896317059072,17,0.02
992827114198138881,17,0.02
880061201685676032,17,0.02
974977642447831042,17,0.02
977438349412532224,17,0.02
879715954870648832,17,0.02
973767080099381249,17,0.02
974172799855558657,17,0.02
983295447939809281,17,0.02
873082601264447488,17,0.02
1003782647972495360,17,0.02
978030986132652033,17,0.02
963133703056523265,17,0.02
896475810614345729,17,0.02
983673679793815553,17,0.02
996254291888308233,17,0.02
937501888145588224,17,0.02
892834228223475713,17,0.02
966227728850812929,17,0.02
806598431643402240,17,0.02
1007111969154465793,17,0.02
1007600152303828993,17,0.02
990131111559299072,17,0.02
971050186878943233,17,0.02
1006824996681416705,17,0.02
1001612211984793601,17,0.02
983105232305061888,17,0.02
999961845109358593,17,0.02
996854625218330625,16,0.02
992415896781914113,16,0.02
972092523904368640,16,0.02
993773793604141057,16,0.02
1006575407467134977,16,0.02
813021778653347840,16,0.02
955850538026795009,16,0.02
862190839132258304,16,0.02
933345734229753857,16,0.02
919425916935864323,16,0.02
1006536924645949441,16,0.02
981303132698705921,16,0.02
993042618388971520,16,0.02
937847134733991937,16,0.02
971464702686986241,16,0.02
895158595725623297,16,0.02
996014598390349825,16,0.02
919425916935864322,16,0.02
986403767281451008,16,0.02
858684496552001536,16,0.02
909500625439621120,16,0.02
974089236971520001,16,0.02
891518112692240384,16,0.02
891493923506290688,16,0.02
997440665011683328,16,0.02
1007493499878899712,16,0.02
1006390689681965058,16,0.02
970644467126501377,16,0.02
955436022256893952,16,0.02
1000513799849574401,16,0.02
993419750882672641,16,0.02
1004818387885228032,16,0.02
961749418107797504,16,0.02
994562143563284481,16,0.02
920938844824403969,16,0.02
981115116220121088,16,0.02
944473891356934144,16,0.02
991559377237770241,16,0.02
992338930991431681,16,0.02
923989989576867841,16,0.02
1003058069834956801,16,0.02
909500625440145408,16,0.02
1004093809876992001,16,0.02
884781404943941634,16,0.02
987848525500514305,16,0.02
891493923506356224,16,0.02
974092535487004673,16,0.02
994354335798001664,16,0.02
981227266572156929,16,0.02
947034653969088512,16,0.02
989125058599649281,16,0.02
982840250046087168,16,0.02
994166319286059008,16,0.02
896469213704028160,16,0.02
995898050064023553,16,0.02
964830249759342593,16,0.02
1006873375196774400,16,0.02
1004998707827900419,16,0.02
991538486577987585,16,0.02
996124549461114880,16,0.02
956233168242933761,16,0.02
993369173347401729,16,0.02
935608529080745985,16,0.02
951757056493551617,16,0.02
950975303500103680,16,0.02
908274669919141888,16,0.02
965702162310234112,16,0.02
1002489622252945408,16,0.02
1005727684005527553,16,0.02
992313642291757057,16,0.02
861141905049976832,16,0.02
927309415314620417,16,0.02
958950061405896704,16,0.02
999387899969994752,16,0.02
985263573569765376,16,0.02
976426798696759297,16,0.02
975614259546750977,16,0.02
1007235114561765376,16,0.02
943703133771923459,16,0.02
1003853016718573569,16,0.02
988094816067125249,16,0.02
923224729626804225,16,0.02
879245364016185345,16,0.02
885525774463795201,16,0.02
948594860965625857,16,0.02
961541610199711744,16,0.02
896468114071224320,16,0.02
1003936579672801281,16,0.02
994349937784913921,16,0.02
927462247342080000,16,0.02
864659242755293184,16,0.02
994234489118064641,16,0.02
1003604527215411200,16,0.02
993346083584278528,16,0.02
908274669920124928,16,0.02
985641805795164161,16,0.02
1005325262741962753,16,0.02
997562710791356417,16,0.02
933493068680462336,16,0.02
883520265197780993,16,0.02
990278446214348801,16,0.02
967558137856065537,16,0.02
896469213704159232,16,0.02
1007378050963734528,16,0.02
996156435348193286,16,0.02
892855118968586240,16,0.02
897846901872132098,16,0.02
1004249940416266241,16,0.02
943103899702263811,16,0.02
991375758873460736,15,0.02
913531435219746817,15,0.02
822203800204345345,15,0.02
889082694535610373,15,0.02
996132246179479553,15,0.02
1005424218911473664,15,0.02
964778572451282944,15,0.02
967127129360695297,15,0.02
949806522612514816,15,0.02
998410434120450051,15,0.02
880061201685610496,15,0.02
966802773436596225,15,0.02
939532686022148097,15,0.02
996014598392643584,15,0.02
1004958025856516096,15,0.02
994379624526053379,15,0.02
977705530675560449,15,0.02
989517584173498369,15,0.02
1007455016795897857,15,0.02
991951902919426049,15,0.02
1005254894077804545,15,0.02
988493938781323265,15,0.02
994562143538708481,15,0.02
1006706249467297792,15,0.02
992202591527632897,15,0.02
999170196751450113,15,0.02
967189801494446080,15,0.02
999420885454684160,15,0.02
998286189311557634,15,0.02
978720380042149889,15,0.02
971577952500056065,15,0.02
1007403339847630849,15,0.02
994981057541898241,15,0.02
999584712543436801,15,0.02
977421856739229697,15,0.02
985347136567836673,15,0.02
982136562611453958,15,0.02
970262936657068033,15,0.02
1007537480281358337,15,0.02
886033748684767233,15,0.02
892834228224131073,15,0.02
883520265197780994,15,0.02
1004321408719454209,15,0.02
988427968078020609,15,0.02
982401544847884288,15,0.02
974556529413586944,15,0.02
982938106526826497,15,0.02
956150704719593472,15,0.02
892834228223737857,15,0.02
855422245596430337,15,0.02
986933731816112129,15,0.02
991942007360651267,15,0.02
1005161435612119041,15,0.02
985149224423194625,15,0.02
989200924926148608,15,0.02
989331766740910081,15,0.02
993570383956869121,15,0.02
988555511483727873,15,0.02
994409311309791233,15,0.02
935524966198149122,15,0.02
928898209503641601,15,0.02
994551148357746689,15,0.02
932612359806844929,15,0.02
1007393444132028416,15,0.02
943775701332066306,15,0.02
1007562769046175745,15,0.02
973771478075047937,15,0.02
975823166875697152,15,0.02
993072305203380224,15,0.02
968493822231576576,15,0.02
1005518776786092033,15,0.02
922589211950972929,15,0.02
886200874445373440,15,0.02
896475810614280193,15,0.02
989188830294835200,15,0.02
946666317414924289,15,0.02
988223458920300545,15,0.02
933021378110357505,15,0.02
971859427328327681,15,0.02
974061749283848193,15,0.02
1006981127301038080,15,0.02
1004672152963579905,15,0.02
855388160611909634,15,0.02
896469213703766016,15,0.02
988307021828128769,15,0.02
987554955860312065,15,0.02
978360839596670977,15,0.02
990484054903619584,15,0.02
