orig_node,message_count,percentage_of_total
02ed588d777b8512f850eeb0b167e26fd2da2052fb3ccf7a3c3abae2c920acac80,42,0.1
02bf8c088aa0cd53ce4b0ae2705bf2335df156964f2776641170e6724595bf2bbe,41,0.1
03fbe1c1baedbc99b2642ae524d9c2a6f12b771a3ab91e0f56ca6efc6f7f7d53b6,41,0.1
0217a309762fb94b9dcedfd16485ca2e52f3f3c8fa1cbab54e8f922fcf1454bbd7,41,0.1
03e7d1b2db2f6909365a066a2b40d5ef3a66f1c4d70d8cac3337e09ff2fd2d408f,40,0.1
029506aafd62226f6af7572dc3f177c9a25bf5b011fd1c60d43803e09e408109c3,40,0.1
0224a1e6dff48f4bd44443e91199abdfd1940c456a72727d623389b4be92861ca9,40,0.1
0226c3a56e4c8c67ed28ba0ea7a26cb1c044a14dabd3db78849560c7e74904ea5b,40,0.1
02dc8bbe5ead10889867f936b0871a59b815369f132184ae86e26d50e764d4723b,39,0.1
02e46fce29587e4a8d39da2cf21f032536c1ced45e82e4ba04f127ee7337783b38,38,0.09
037172d2110c4148d6ed0c2790ec8be948458022425dced6794fede834be92af36,38,0.09
03c287a177705648112370a4219b3b2c248553d73ad4ec08bc83653cfc5bb36347,38,0.09
03c1d1e87bca173dcd7064bb6701056a1d2b3b04ed5d6962675fc4b5892bb70164,38,0.09
03afb0e04d0f4cd6242148d4edcc4f0469f498441743f600fefefcac156292cbf4,38,0.09
0271fa10958e6cc561d9295645d501f230ebafa1bb7a5d3a0f2c5ac2af6f5b8796,37,0.09
02f71b70f987109ffdd94399d6b5b165201517c25ab3c863c4002be75731854815,37,0.09
0288be11d147e1525f7f234f304b094d6627d2c70f3313d7ba3696887b261c4447,37,0.09
0210ef7d43c105753673563feb1e20fe344b844ab65aa710cb2288a257ec024c99,37,0.09
0294e7e59ce4b28b77cfeb3d06588efcf70477894af2ff36bc0fbb78743ca7b043,37,0.09
021d2436cab847373a4212bf6d754ead5304f5d0791479643893a837b295f3441c,36,0.09
03ca171e97e2e86f9e4682bc9fff84868f6d2ffd605b73667fd56b14e0797e44f8,36,0.09
02fbbfb6fd70d4555f8d186fa68913e52d9f866f700eb0d09cf3fd4d2245903416,36,0.09
0382035eaf22bee4beecec26dc87d79530e6a3dd32384c04b2aed24c7005ac8738,36,0.09
028cc8ed61927c980836ee0aed5d0aceae9c1c388a589e7f1a62041f2d98e7e230,36,0.09
020c92d71dfe47d49d322eed910064787973dff96c05a39d75a75d7e8f33aead4c,36,0.09
02562210dcf4c52349e184ae2ce1ee41d7b7bc89392c213a6acdc8323705b68747,35,0.09
035c15fe7cf1531e1ce56e436b459bd06066c54a79f0650d7ec4b8ab7370232c18,35,0.09
021f1e6bdf336f7f4ebc7a585d7645ac90be3050e0dd5ab5e814d1d7bef8b897d4,35,0.09
03de2de00fdc509e929d2621bcf6976fd72f685c863aab50a06faecaaf7f8f4f73,35,0.09
037943defcf3068fc5b8a2b821cdd2c4c1b1faa39d6a971b3fd984b9dd291a4817,35,0.09
0221b02b49b24c7a398b32f59a9c18aa6517581cada44b4d98532cdab15e93f7d0,35,0.09
02e9ef2db53636ab4e610be8894c158c052e0aadd060345fc325b917be58b9fec2,35,0.09
02b4552a7a85274e4da01a7c71ca57407181752e8568b31d51f13c111a2941dce3,35,0.09
03e9cd722fea2c5f281e683eae0768e18e0907c3213835be8010c760c5c054a93d,34,0.08
021172f566b30058a017d066eaf0f08399f9bab8c9259aa54ad3127f5fa5a45b92,34,0.08
02a75f33c6fa0e5287d70ca69ca64902fed8beef561b990f33dd4a5a77b9ab43b3,34,0.08
02be146de8bd4b92f98b038a9d9ab413ade61fd8aabec7ef124ef24614bcb67e80,34,0.08
03823ea7cb6d0ca121a5103b1898b4a954dd843a4e234eb1075669a15f011c57ed,33,0.08
03e4f3d7ccf98bdbf24085b948f204a6c0c0b4464a7572cbac85c746085b14bbc9,33,0.08
031d3d5f700d20291fe1fd414044ec732e212effea5cf8262e4ae45f7455564101,33,0.08
0313827390afcae8876dc7d56c417d5698effb237e6eab45a364ac71e9e2044c9a,33,0.08
0389d4bfe60658ecc4859fc42b81e12e0eb5fcc142b938cba2760b4e921c12ed13,33,0.08
0263139905d2d5bb8bc6741065b1a16521a0a6750c5a3bbe333ff6e65c6b31643d,33,0.08
03cf8a3c7e7e1edce4d0f7331f57e2903336f0b31a42f3828224f2cade81307eef,33,0.08
031cecb697b2fbdcd265d233fc65442fdf8a3522a61ab1c727a9d6be673270cbfa,32,0.08
