pubkey,active_channels,closed_channels,opened_channels,age_days,asn,iso_code,net_type,sockets,alias
036c15307bf2096815e41d78aeb5af8d0061b4b3670148c52ef67905f8b970d2b9,3,20,10,2192,,,tor,nkxycdr462yon5l5uocgjgjzlgzuubaherlnq7osducvrwmsrgfus7qd.onion:9735,BTC4Me
02e4d3f335d29c5c587f000112d8e09c46bc3ee4dea400d2c7827c238935068854,1,0,1,121,4837,CN,clearnet,211.158.118.209:9735,LNT.CXBIT02
0223db490af65bdf6c9f088ad73c3c21c2aeb337e663be9b4192365f101d289e8c,8,6,8,1044,,,tor,pw7x6f7vyspvtrcxyqnovptzds7lp7zdduzzy3skadcz7kpt7ermhqid.onion:9735,0223db490af65bdf6c9f
020d1617e27ac022395352f2b3774969593d3d6ddff6fb117d820a9dda8da45217,168,829,168,1632,24940,DE,tor,buqjxr6ha4oob7knppq2ky4urrtohruowpdpldjdapgn2k5gt2nx74id.onion:9735,i'llTryAnythingOnce
03250b4d66766278b329405d743732d16a1f977897ab2a50e1743ae3d0731179e5,17,16,17,297,44925,IS,both,"93.95.230.165:9735,lgfushotfnavbteloz7qvm2re6ihe6uatjadtaj2l7exi3mm5zuy4vid.onion:9735",Noude
02d444609687b15e47f7d899417daf18deaa28bed1ecdc73dbf1a4ee82f352de78,1,4,1,1091,,,tor,q2ddl36kmc6k2uakhly5xo36jopxtt5h4oqmy33q5mjabl2z2ahvewqd.onion:9735,greatislibertymindfulness
0239550dcbf56fe8cad623a7f3fd9c4cbfa62c081bc0ead16aca00431eea5157e5,2,0,2,865,,,none,,0239550dcbf56fe8cad6
0241614c5a00ad460d73d19c68538fadd9086447609606b53d1d9455a7bcdd5122,1,0,1,108,4134,CN,clearnet,182.241.59.14:9735,LNT.WL0099
0227ca96c18836ae7cc04dc7b2bdfca36216e7bb49c95fb44a9c2f8c190e6bcba0,4,25,4,1545,1136,NL,both,"188.142.8.211:9735,yeujcjpzf5gtrq7m4o2mflsespqtnkzrgksz5dtt4scv4aubvtqlwgqd.onion:9735",adAstra
03b90d6f20cbe82e930b96acf2b6b6806142b43d5bc6d969d310958d3c71a2438a,4,6,5,458,63949,DE,clearnet,172.104.229.220:9735,BLUEMASTER
026d1046158fef4793656061bb5aa99842e0fd79b70ad2f13e03bf886694d93558,1,0,1,144,9808,CN,clearnet,223.74.5.9:9735,LNT.prw
03e921beb1b648871d869469f5136d38039b1691b30aeb561c9dee04d30c9cde00,1,7,1,1546,16276,GB,clearnet,198.244.231.6:9735,Bitcoinpoint
03393fcd80389f439889551ed7ef7a4aa19815c4058bb9947a55ae5e81aba553b5,2,1,2,55,,,tor,3etgbcqku635cievvbrtiiqoej5anh7ryfqpwfzrhlgcl6zotgzopxid.onion:9735,03393fcd80389f439889
02ac523c8e17a47e5dc126be3453b8ee3b7d9be95fe2dcabbf5bd4c8f856078402,2,4,2,1823,,,tor,b3fpaebx4roguw6q57ioxgwz4muamjudi22sfx6l4p73nfmkwqjwagyd.onion:9735,02ac523c8e17a47e5dc1
03b4752fd65147eae8abc19220d954e7da691fbbf69d1d948fa49e3c4fb48c38ee,1,0,1,57,,,tor,zmrptlfkfrrwnhajxm4c6ipgobvmadodutdcixrf4t25no5u7t33fyid.onion:9735,03b4752fd65147eae8ab
033864b40a0cacbc61f3d489aed81009120c92d319ca5d4f7ad02f889bd2ff500e,2,0,2,526,,,tor,cu32yqsxxs2r3s7a77ev72y6gaxmaitwjxcmq6qi6vgfpolavklxgbad.onion:9735,Thien Long
024355035d9df9865d2d5f6c223f8162f83a04ec2faa2252c90159ee0d29489660,2,9,2,1671,,,tor,sowuo3s56wzbwpnndzrilxpwztzcgmbu3zzshtltk3imaeycavb4nbqd.onion:9735,024355035d9df9865d2d
039d9379e6f45e9361b3b0198aa2f81debb0fea4bd289846ae11fee22213f33649,1,13,1,1310,394745,CA,both,"172.81.183.102:9735,whm25bzylcdcj3igonxozoeqyx4jzj47pb2p7ggjjncxcwzr4qb6rnqd.onion:9735",039d9379e6f45e9361b3
0202ffa14ffd142d9aed33076f51a66b754d8b9024466344d0ff27d8cd54802bb2,2,3,4,1780,3209,DE,clearnet,78.94.132.234:9735,ARUBlitz02
03891648c76c208a93c50c9a7ad4fc5bbfbf6d8c1cedbf2f2e70c529ba065b3e86,1,12,1,1712,,,tor,zoyze5bxswttv5eqplixcexcwjykx2u3yjztdmt5tkfyxswqqt7u6qad.onion:9735,03891648c76c208a93c5
034a92e825053e858f7bff0e8d6608cf520fa5da9d1a3d2c8502f69068e02e8754,1,8,1,1560,,,tor,k6df3rrwhmf2tpjs7lhq4ttyrschl4arte54oyu7ckwrouw2zli7pyqd.onion:9735,Freedom Hawk
03f4f6e6e2f7465005b4e681cdf49098423ff42d93e8c8ad3f924b81887bf0c6d5,1,1,1,438,,,tor,hbl5skbznkvyyy34zpvwon25retyhd6lncuk6ackyigmeibzwwnc2tyd.onion:9735,ANGRYCALENDAR
02e0ef5a247bea1b1febf249c1b10583266609d859ce63616f54ea145a498c9657,2,18,6,2177,,,tor,e75eqnaf6vshnxc3c6cojts5dmoum43seobzvublsfysyofjifjc7sid.onion:9735,burgem
0256812a1cb2539a5500f3c1c20db5ed7626e3878a552e3356c032c7bec2b3060e,2,149,2,2773,29222,CH,both,"128.65.199.77:9735,[2001:1600:13:101::13ec]:9735,sahyfspofl4srkkhrbnkibitgm2mwo64cvs5arcq6cylobj6clbrr3ad.onion:9735",guggero
0393a3bdf24865f6e236d79de8bdf27dfc980e00cdb8c01e7ac3fa8c0dcdbdc8f5,0,2,0,182,,,tor,4pgnnszxywlv2gtmovgwo7t5q6r5jid5dwklfgwgxji6dwj4ipufz2qd.onion:9735,first-node
03f724b4bc6cb04f45068c0fc542c35e7d82dbe750383e2eda229c8304699f48f2,3,9,3,505,,,tor,bmiwvmnf7tfklmd5xhsw2sgdxtksxn5rucj4hnn4gtunbrw2fxxhmyqd.onion:9736,Hache
0250ed9fc5770b46bd20454db19d2c33c1d6c430067e324f2f8a6d7934f170c4c3,8,8,8,584,,,tor,2pkhmlhv7i56skkr324r6p3ck2mx72iu42bpbzg2om3y2w7jguap3myd.onion:9735,Friars-YYZ
0298d4cc58a08b2aacae9d65559ae5b87bf6c65683b2c22e7e58f1290517df1fc8,1,8,1,2650,34358,RO,clearnet,80.96.84.7:9735,LOUDCHIPMUNK-
027a4b6385dce2467628eec4c050a3027d87f3f95b33671f086803fd40aa6818c8,3,13,6,1653,,,tor,uqvtgutc6qbjo3cw5kuxmgstwnzfqu6ylq6646ruhqpapivmmlzi5xyd.onion:9735,027a4b6385dce2467628
02336ba94170fee55fd0c0d08c8bef95c4650526a5e370713f4d5d9409ca1bdc5d,1,3,2,1337,,,tor,xduvdpturoht4m7x5ugntqs7jsqgqzbyh55chbwovpbqvldkgtt36wqd.onion:9735,02336ba94170fee55fd0
02763d8a6be55b52a6a352f417f6cf3a1680bcb6b9e9d3e3e369fbd2df0435e8e8,7,16,7,313,,,tor,fsa26gm2cx4gw36zzlf5hekbj56q3pbs3oenfwi25h326ypya4y2xgid.onion:9735,ride-the-lightning
037fd79605d69ea46cf933c2c4d21c793f735f476271337a54436f0a2dd8a8a31c,2,7,2,986,394745,CA,both,"170.75.165.97:9735,57kztufyrubvlorzylyhzwknavuxaya7zmcmqxnidlzetzc4wynd2nqd.onion:9735",RTL
0353d60ee657491c66e4548df6d1fb75e0f7865b5b97666af8ef5e75fc4fb157ec,1,0,1,198,4134,CN,clearnet,118.116.33.130:9735,LNT.yxw-20
03593ad5b1ca82737a8129a7f13d97b50e6eb1ad56b8e3aec57be78eadfb0860cb,1,2,1,279,,,tor,vajhb4nted3yfxrm4qw3wr7tm3fy75f3quyml2ufsgydsvf36m5j4vqd.onion:9735,geller
03fce8dd250e20ff171aa3485fa4187d2c268e82f5daa243b1e85e5d93542ec5cd,1,0,1,139,4134,CN,clearnet,61.157.3.115:9735,LNT.xy21
03b5a972cbc452449ddf6b7a4647556a459fd47146c611ac589e19fd5e4a165d58,0,1,0,304,13335,,both,"104.21.3.115:9735,72pttnfvshfpbuu7j4455btr2hdyg34c6k53tn6e3wesybyxvo4otbyd.onion:9735",SLICKERGOPHER
0325fe4800837b5d608e5da294e3c90a5ee4206fb55363546787636b40a4499b30,1,0,1,274,,,clearnet,"0.0.0.0:9735,[::]:9735",Alby Hub
02d23cd031a69710a5bbe525784cde50bd3beeb9acb56d97ac7c0c5e9877193f61,2,28,2,1518,,,tor,a7i45kih4iergzmbmxrdohdmvyhgjtxbh7drohludvx4qctamccxoryd.onion:9735,WeyK47
02eae56f155bae8a8eaab82ddc6fef04d5a79a6b0b0d7bcdd0b60d52f3015af031,1,25,6,2874,701,US,clearnet,74.105.132.161:9735,Satoshi's Vision
0217c2fbd82f377982efa34d0127ef93650e9f98f0fddd06a6984ca29008c814e4,1,0,1,305,,,tor,comqnpfqnqch2vqvartqxokawyhbt7kq7bux7erfdxwv7orq6r3zkdqd.onion:9735,IRATETOLL
0320a504eda3dcc99df461ee7e4a15224ac0f6caf35a9d35f333371dc69e4316db,1,6,1,2737,4788,MY,clearnet,175.138.132.181:9735,southern cross
03977a81804ebf58db4aab2b32e747471d96da9ae65c31e6805250e9ef68a7a72e,12,61,13,1428,,,tor,xtqtkbkgcetvny5usp6auwwffgaockiyyyueyy7j73re4ovaxg6t34qd.onion:9735,03977a81804ebf58db4a
02067a5b7c24bd95dd41c85fd07c604b87924185d973f29c33937e7ef822b10fb3,1,17,3,2530,4609,MO,clearnet,60.246.132.205:9735,OpenLN1.A
022725b82cd33830174a684c274dd836eae92ebb8d9b87d66886a22244d3733a08,1,0,1,41,4134,CN,clearnet,106.57.158.151:9735,LNT.wl0242
029ee8e74fe7fc757e8b04a1350b34d9049e62dce8aa4a51487e7afdec6a732b39,1,0,1,139,4134,CN,clearnet,61.157.3.115:9735,LNT.xy47
0265b8ed989c84321bcd0dfb77cdb4a8347cc5164f5e65d0c44654d1641f3cc15c,22,18,22,669,,,tor,duetyq2argb54rqcxt5umqw4usvihzijfbjroi27igqire4nkfbnk5yd.onion:9735,N1ROX
02b289f93133eea9b2268ea62f2f0acdc8465aa0fdaa59f4120a961440dfec6d2f,1,58,10,2591,,,tor,2exb3bvdfpxwidgabk2bmnrlhu3qoiby7xwm3rjoyhz5gb52v2tn6aad.onion:9735,Nana&PapasNode
0334ea8bae08c378759535054ddcc7bce8cbd16d6b15e78e0c2325715cb22e3b75,70,36,70,388,,,tor,llb4pjjngamxbo3ilhwd76ox2xuu7bwke7pti34yniiintc2f4lft7id.onion:9735,AF_reload
038399372001f2741d58d6ec4846fccb78daa1a485e69e2eebc5aadba047d35956,1,46,2,1458,,,tor,7r3hmxxupelpapxym5vbo2wu5qgsgwhxqfncohxfxumxsnbtphaua3qd.onion:9735,Podfather
0321f89be347204b7ed0dfeb788a3f702bd57e1299168f8c74bcc1fc08b889ae89,1,0,1,159,4837,CN,clearnet,116.178.135.187:9735,LNT.ltt007
03ac80554fe880d823cdbd8471e0ca986b18a6ad4861446619fd0b28080e5c885e,1,52,2,1588,396982,US,both,"34.168.174.128:9735,3qygu2o63r2g6dvmj5yj2vvpojazk4rnosxtdcewf46sstcld5n7upid.onion:9735",lightning⚡snail...🐌
02022f150855fe4d018c0551482dfa9159f2777c473db40076443e1656d15f92f8,1,0,1,49,9808,CN,clearnet,39.128.49.55:9735,LNT.wl279
023483db5ca5ff88aa92932e99abb586490d247554d6752b7dd0a7a63a5b94c909,0,1,1,383,394745,CA,both,"170.75.161.179:9735,x3e32432bu6ezqtkn2lmv35rp7xu6lrghzdkgelogb5i7qxhismpygqd.onion:9735",023483db5ca5ff88aa92
0327829c349b4f1287331e4aa958ed3d3ce32ed071cedd634ae0dbbc3b80d40e17,1,0,1,112,4134,CN,clearnet,111.79.250.211:9735,LNT.XJH1
022a1efe8793c50e8927efa613ce76cd41cc47392d0cbd4604a8dbdf57a3bbd6c1,1,4,1,1226,,,tor,ilg2sx244lh273pe2f2yxmekucmouhqj72ottqylcky23jyi22gjb7qd.onion:9735,jslightningnode
03a1b322a6e48b29c372b9970a3874beff7cc20f2b06833811061918604f7920ba,8,5,8,302,,,tor,qtqcneob7bvdfwsnochjljaat6wrhpsxi2gnk4z7u7dlve3dczn7phqd.onion:9735,LaguzNode
02a0b750677d6039ce19923929413f51a310074c5ab53b6387a9b023007b5163bf,1,0,1,165,9808,CN,clearnet,183.226.205.223:9735,LNT.GXX01
03619d89f577fb20dba8603092de628f0d34733d0598b4f7818cc61655edc84acd,1,29,9,2510,24940,DE,clearnet,192.168.144.7:9735,LWLN01
021fd2065288ae02d8a53479e7028a025442ea0c5ba2cf059a26f09c4f31425083,1,7,1,843,,,tor,sucvbp5zwjlgzkgv5zikocfmx5fqdgyl4xubxenbdznb4iwfobepbdid.onion:9735,BreliLightningNode
03b77b8b54f44c175870054ee40e834ada8ce6860ed2cea4225d9e5a0d4c7550f2,3,0,3,107,,,tor,fc444b6cuogdvghy7orhyaqjosgdudmki5zzpdu5cbg4bjwnk2r3mwad.onion:9735,MASLICUV_NOUD
037c862ec724bc85462aaeb804dd0941cd77dc4521cabd05edf3d0f23ed6b01f09,24,143,24,1386,,,tor,4cfjd2stbasaycskgrjanbytneixfvddbw7hhqtpmieqbjhd55jiqxad.onion:9735,OpenSats
02745a5f7475f7e76832397fc266b3a19fd15e6d23aee338ee8c80d7aba6e286bb,1,0,1,1128,,,tor,njx7ejhaznr4olzohzjdiz3nwccesu5opepfpwg7f2nbl6gcbhqo2jad.onion:9735,ChainPay2
027c4afa4b27f2a4066ec6c1ec9eff4446397eec51f220c59ecc1534d1875c5364,1,2,1,2124,,,tor,qqratzqzxvhhfky4tvonsv5wxb5cnmjj5feuiqhuxzkdlrq2fi5qmsqd.onion:9735,mpi
03ba5701cf6cdcc92975f1899df48bf4770a0082d6b2a5a697e67f0949c53383c8,1,7,1,2296,,,tor,ssyfd5vmbevb36hoxaiu4abj4o3vmnnh5zhwd5p6fbk5pdabyydlsmid.onion:9735,03ba5701cf6cdcc92975
03220f38cfc6da62b0a6642f48fa3425411bb2d9e38875e573662e922ea3900ea6,1,0,1,84,209,US,clearnet,75.163.187.212:9735,DesktopLightning
023e856d7fe32165c288b0ae436351c713dd37c25abe058434edc7af87f87a057c,1,0,1,978,,,tor,gqog46usxzgqxwbu6ovuvcbw6c464ifh7qkpjtzj2cqv2hrw33vufgid.onion:9735,druds.lightning
02146a058fe4b7fd1723a333b2357fa13423dbff8a14cfdb8b1b821eb4b7c7feaa,1,0,1,50,4134,CN,clearnet,222.221.181.34:9735,LNT.Tzj
0201be5b63e839fc57c66c7ab21dcea3aa79001de132f29ade96a0c2d6680c8eaf,1,32,3,2515,15962,SK,clearnet,127.0.0.1:9735,ickycage
03787133995cd8f3556699fa4fab64df664f091c2bcaa76a855a82343a407a638d,1,0,1,108,4134,CN,clearnet,106.57.158.151:9735,LNT.WL0105
