orig_node,message_count,percentage_of_total
02dfe525d9c5b4bb52a55aa3d67115fa4a6326599c686dbd1083cffe0f45c114f8,157,0.13
03c2a82c4a00218ecad7b4b811d8ee34fe71044a1677cfb958a072716c62b75da8,157,0.13
035cf526f4c01ed693bacd7434461b9dc53d65b910fb3006110d8b42a574858fb2,156,0.12
021172f566b30058a017d066eaf0f08399f9bab8c9259aa54ad3127f5fa5a45b92,155,0.12
02fbbfb6fd70d4555f8d186fa68913e52d9f866f700eb0d09cf3fd4d2245903416,153,0.12
02c953421bc7f07be6052920e46843d11e6d3ffc9986177c91f140d76c6ed3a3d4,152,0.12
03f306e8e1592fc0053ba7fe681ec27c274c39357e1470ca7e62e32f9391e6581b,151,0.12
02c7e5c1e3e4bec5a9195ee82cf470b83fdec1b52b1801e8e8aba54b576ac5ce6a,150,0.12
0226c3a56e4c8c67ed28ba0ea7a26cb1c044a14dabd3db78849560c7e74904ea5b,150,0.12
033d38e07e2541628214c8184cf6c562311059872363e9f538b2f45434418b5bc5,149,0.12
02d7e90928e0dc65852d6622768f6c6c1debfd8a03ddca7e5a47d93e51e5112974,149,0.12
03f5a67d5458e8b6f0e711d1f4f3011445010f6c4cb262d66919ea4af205ac5da0,148,0.12
033d7e7054f29818f9eddc9b7960dea7aee7d58b23f36f10fb7103247c82e920cd,146,0.12
0310d29d73c6a94db49c97d4c30a27b6ae4472968c0e043d5ecc8d6ea81eafa322,146,0.12
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,145,0.12
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,143,0.11
036725311678296f152af12a61a25d3f82e7b49d799fa93e48e1b34670eeaf69b5,143,0.11
02fce3ea57e9ce97cb7da178b91ba00d194b1a4d0928325463c777622b88eab001,142,0.11
02ebc152eaaa97f67b1f67f7ecc30c629b24f3da30f07c2aad2cc2232236acc290,141,0.11
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,141,0.11
